(Do Not Modify) Opportunity,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Account,Topic,Estimated signature date,Current BPF Status,Owner,Annual Margin,Total Service Amount,Primary Pillar,Are we shortlisted?,License SaaS ARR,Current BPF Advance Date,Pillar Must Win
07a8fbd4-1cab-4b9c-9712-cc9347e77744,rTXCGqDy4bf0k7cC46C8+FaBRsvF9VtjzXpMPBFq4bwmbjRzHec5C3Piwe++4ZOVB9OHiEt9SfJ2zMQ01iHS4g==,21/1/2026 5:29,Hachette (F5AU),IBM Mirantis License,6/2/2026,Qualification,Neville Ray,371.60,0.00,CPM,,3716.00,21/1/2026 12:31,No
c775bae7-11d4-405b-9eb7-1ae472a82d8b,8f/1+5b32f8e1AwzqvwuJBCrMphM4iONS0yZmfO0XoqfB2MfCdH2YITOR4wnEY07+xgbmqU0ZYElMSme6SS4JA==,13/1/2026 23:52,iQuip,iQuip: WMS Enchancements (Workshops),13/2/2026,Solutioning,Karen Linehan,0.00,10000.00,NetSuite,,0.00,13/11/2025 15:59,
de286d06-5ebe-49a0-b510-4221702a6af4,zw2WFFBovtH7Cqp+pxI6uiGhZyrnNqHKhNh5VycBBsLK0m1Uwp2mjaQnpbgMvUSLUG5Mwsmm/C1GbG0MrxpuBA==,23/1/2026 3:43,Iron Capital,IC: Zone Capture,13/2/2026,Solutioning,Karen Linehan,330.48,2800.00,NetSuite,,1101.60,28/11/2025 12:29,No
1bcf825f-7017-4846-8671-66c09ffcfcf2,pUtJBs+DPUWM3cXF4Lkj9WyvlB1tJPsTGsID2Gz5DPiYtEVFTZU+hd3cC3lqnuuWLyZsLyFYN9gqugQ/kFRZzg==,21/1/2026 4:48,NineZero DC Management,New Sandbox Environment,13/2/2026,Contracting,Justin Petrovic,5967.00,0.00,NetSuite,,11934.00,6/1/2026 9:44,No
f4e6afd7-afe0-44e2-89b4-8e5efbde7ec7,izWTyKm3p+jEdvtDflL+HCyHX8oHYoQa6Jnxs+XR2clmQjGKO7IoE8zlSdGn4a9TD11O011zaqLfnjTvM5LxTA==,20/1/2026 5:35,Iron Capital,IC: MCP Setup,13/2/2026,Contracting,Karen Linehan,0.00,500.00,NetSuite,,0.00,20/1/2026 8:59,No
85faf73c-20f1-4dbd-917e-516d8f31a24a,bJ//erGbd7peOOr6qnbjweqN9SqR6AihKKJ8HfQ1HDxR+9QadTx5zxL6m2ODzhHK3ooBRn6jLGbEGOPM53WxvQ==,22/1/2026 1:37,VoltX Energy Pty Ltd,Westpac Bank Feeds,20/2/2026,Contracting,Justin Petrovic,1500.00,13044.00,NetSuite,,1500.00,6/1/2026 11:39,No
00f65590-fcfc-4449-8741-afabe25a4425,tDKZpDjMHa0jpqPyr5I+22Ve/9hD8LsxHHLkwQ2Gocr+6BbJQhkUt3TsBIoiYLtOHtAIqDXA8ujjdcDEYFXirg==,22/1/2026 7:50,Vald Performance,VALD Suite Billing,25/2/2026,Solutioning,Karin Prinsloo,1620.00,0.00,NetSuite,,3240.00,7/11/2025 19:28,
2b76f422-bad2-4b4d-a61b-0d901d2b2838,265dK7H9pnR9D3vcRRDhujdaB54wB2qZQf4NS3g9LxoNG3VF6EbhgmDOsuTlkSjKLZafo6XGRbjyNDfqTDRNmA==,18/1/2026 9:27,ANMAC,Education Provider Portal,26/2/2026,Qualification,Justin Petrovic,0.00,333320.00,i2,,0.00,12/7/2024 11:20,
dcc82297-6d6b-f011-b4cb-002248110fb9,ucsD82TB2IAPmIsf7Mve7ASQ8u8gWOuEohwMV8XUbKt5f1X5+hMnPEjNs6vDWh45NTp52X0Hnc6fXO8pYLd/MQ==,19/1/2026 21:19,Andersens,Andersens NetSuite Health Check,27/2/2026,Solutioning,Karin Prinsloo,0.00,10840.00,Overhead,,0.00,24/10/2025 16:57,
932ea8e3-5018-48ce-8307-19171a9ec15f,u9Ia9gH5V4Ko3wIS/ipbUtlkvt3Y6FIIW2BjFFa2xL9QN0DVkjJj7/5VMoZMRMC8y3kqczwyT1J+oZh/vevb5Q==,20/1/2026 4:15,The Collagen Co. (F5AU),TCC: PartnerPlus,27/2/2026,Contracting,Karen Linehan,0.00,29040.00,NetSuite,,0.00,8/12/2025 8:59,
6b4af65a-52e0-4739-8e41-3317fb5e1526,i2KXaPT23Vw+bGUExC9lHu5+E6jIiF0Z6qfXMnj8GgFM7b93dv0yiwv8M4zXVA25LFQqJTqtCkbADWQVN945ag==,15/1/2026 5:02,Enero Group,IBM FX budgeting upgrade,27/2/2026,Solutioning,Neville Ray,0.00,6500.00,CPM,,0.00,31/10/2025 7:51,
0494b38c-0f5f-4fd5-8e23-39ca0d3e6b58,8RkS2I9tjPfwirxMuju5uL8vWEaaX9VylFCEIZYAjpZc0+LQIPPM1V142aJsDYKC1pQ3tVmPuFOZ8X5XS1rJwA==,23/1/2026 1:09,Second Skin,Second Skin WO Production Plan Automation,27/2/2026,Solutioning,Karin Prinsloo,0.00,25000.00,NetSuite,,0.00,9/12/2025 16:39,
3bc5983f-efcc-47f8-96d8-4dd7eb78be64,B/5om9nFozyaogbagxN7rUlYfFGyMHmm/ETV9AkI0cqLLHGj9fmYN4yIg6kjbEYaXa2HWNBdsB2Ds985MIQJsw==,30/11/2025 8:28,Smart Group,PO/ Approvals in NetSuite,27/2/2026,Qualification,Steve Paea,0.00,25000.00,NetSuite,,0.00,6/11/2025 14:31,
70a99d45-af25-4cb8-8206-51c6ff546f07,H44oYEV+Ix6QBTkaHooFCofMx3SBMMKNj20+rPcx0FJnbtbT3Up/N/Xax8OoYsW2I6gkWWxJ8oxq1ubQojHDpA==,26/1/2026 8:42,International Racehorse Transport,IRT. x10 NS. Project. Licenses.,27/2/2026,Qualification,Tony Goh,35000.00,200000.00,NetSuite,,70000.00,12/12/2025 7:36,No
b2ac041f-3b64-40f7-bb0c-5ea5269a0a29,nLTJG8j/dK+9IOB3Jre2XUszSTJr2m50UKRCjl5pIjcKUbTGVxRsBnWyoCzaYYWQDySROPlX8PdIhCvvCT8hkg==,13/1/2026 2:24,Tibaldi (Aust),WO50679 Tibaldi - WMS Phase 2 - Coles SPS Implementation Customisations,27/2/2026,Qualification,Karen Linehan,0.00,12766.00,NetSuite,,0.00,8/12/2025 15:14,No
0acf85af-93d1-f011-bbd3-7ced8da2b14d,DgvgEpcZqsRtVlaJHn9E7k2eFv9AJvaJBOz3zo85DBLFxv4AcOSe5GVrU37IbSG/cwIlK9Zscd5+9PbUGF6dYQ==,26/1/2026 8:44,Fernland,New NetSuite,27/2/2026,Solutioning,Tony Goh,20000.00,100000.00,NetSuite,,40000.00,26/1/2026 18:44,No
